codigo_ocorrencia2,aeronave_matricula,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_ano_fabricacao,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
48083,PRLBC,AVIÃO,PIPER AIRCRAFT,PA-28R-201T,P28R,PISTÃO,MONOMOTOR,1315,1978.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,LEVE,0
48091,PTMCS,AVIÃO,PIPER AIRCRAFT,PA-34-200T,PA34,PISTÃO,BIMOTOR,2073,1976.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
48096,PPGMA,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,1992.0,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
48102,PTVKJ,AVIÃO,EMBRAER,EMB-820C CARAJA,PAT4,TURBOÉLICE,BIMOTOR,3629,1988.0,ADMINISTRAÇÃO DIRETA,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,NENHUM,0
48103,PRSES,HELICÓPTERO,AGUSTA,AW139,A139,TURBOEIXO,BIMOTOR,6800,2009.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
48104,PTLSJ,AVIÃO,LEARJET,35A,LJ35,JATO,BIMOTOR,8165,1978.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,NENHUM,0
48105,PROMN,HELICÓPTERO,AGUSTA,AW139,A139,TURBOEIXO,BIMOTOR,6800,2009.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
48107,PRTON,AVIÃO,CIRRUS DESIGN,SR20,SR20,PISTÃO,MONOMOTOR,1361,2007.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
48109,PTVJQ,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,1989.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
48110,PRJMJ,AVIÃO,PIPER AIRCRAFT,PA-46R-350T,PA46,PISTÃO,MONOMOTOR,1969,2010.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,LEVE,0
48112,PRBGQ,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,2005.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,NENHUM,0
48113,PPGMA,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,1992.0,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
48114,PTOIF,AVIÃO,BEECH AIRCRAFT,F90,BE9T,TURBOÉLICE,BIMOTOR,4967,1980.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,SUBSTANCIAL,0
48142,PRGUQ,AVIÃO,BOEING COMPANY,737-8EH,B738,JATO,BIMOTOR,70533,2012.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,OPERAÇÃO DE SOLO,LEVE,0
48144,PRAVK,AVIÃO,AIRBUS INDUSTRIE,A318-122,A318,JATO,BIMOTOR,68000,2007.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,NENHUM,0
48145,PRGGF,AVIÃO,BOEING COMPANY,737-8EH,B738,JATO,BIMOTOR,70533,2008.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,OPERAÇÃO DE SOLO,LEVE,0
48159,PRPBH,AVIÃO,EMBRAER,EMB-500,E50P,JATO,BIMOTOR,0,0.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,NENHUM,0
48162,PRCHC,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,2006.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,OUTRA FASE,***,0
48163,PRMBS,AVIÃO,AIRBUS INDUSTRIE,A320-232,A320,JATO,BIMOTOR,77000,2002.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,NENHUM,0
48172,PPPTU,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,22500,2010.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,NENHUM,0
48219,PRLBA,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,2008.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,LEVE,0
48429,PTONR,AVIÃO,BEECH AIRCRAFT,95-B55,BE55,PISTÃO,BIMOTOR,2268,1978.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,SUBSTANCIAL,0
48438,PTLPZ,AVIÃO,CESSNA AIRCRAFT,500,C500,JATO,BIMOTOR,4921,1972.0,PARTICULAR,SOROCABA,CAMPO DE MARTE,POUSO,SUBSTANCIAL,0
48442,PRMNS,AVIÃO,CESSNA AIRCRAFT,208,C208,TURBOÉLICE,MONOMOTOR,3969,2008.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,NENHUM,0
48446,PRMJT,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2073,1976.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,LEVE,0
